source,target,lag_same_direction_traversals,n_curves,n_mice,mouse_level_mean_delta_mse,mouse_level_circular_shift_p_relative,positive_gain_p,mice_positive,bh_q_positive_gain_across_8_tests,supported_positive_gain
CA1,CA3,0,24,4,-0.0168200283387351,0.0004997501249375,1.0,1,1.0,False
CA1,CA3,1,24,4,-0.0322110880107811,0.009495252373813,1.0,0,1.0,False
CA1,RSC,0,24,4,0.0308587151991702,0.0004997501249375,0.0004997501249375,2,0.0019990004997501,False
CA1,RSC,1,24,4,-0.0049821741576872,0.000999500249875,1.0,2,1.0,False
CA3,CA1,0,24,4,-0.0186691941095497,0.0004997501249375,1.0,1,1.0,False
CA3,CA1,1,24,4,-0.0349405930583855,0.0154922538730634,1.0,0,1.0,False
RSC,CA1,0,24,4,0.02003623838081,0.0004997501249375,0.0004997501249375,4,0.0019990004997501,True
RSC,CA1,1,24,4,-0.0370315241026331,0.0154922538730634,1.0,0,1.0,False
