subject,file,region,block,direction,n_cells_available,n_cells_equalized,fit_status,midpoint_usable,low,amplitude,midpoint,scale,r_squared,constant_aic,sigmoid_aic,delta_aic_sigmoid_minus_constant,early_five_mean,late_five_mean,late_minus_early,early_identity_null_q95,early_identity_null_p,early_spatial_null_q95,early_spatial_null_p,monotonic_trend_rho,monotonic_trend_p,n_scores
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,142,21,unresolved_nonmonotonic_or_weak,False,0.02859118016171237,0.24004466408969288,1.0000000000000002,5.783223117062687,0.4766707619642784,-207.3974254205272,-224.0614827367058,-16.6640573161786,0.16183996529809624,0.27815061240994804,0.1163106471118518,0.1028627805195174,0.009950248756218905,0.07154745516463829,0.004975124378109453,0.6492997198879552,0.004975124378109453,35
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,RtoL,142,21,unresolved_nonmonotonic_or_weak,False,-0.00430402319717359,0.23314198537113778,1.0000000000000002,6.576885255788741,0.4964904518547656,-216.37105228859198,-235.07254601306835,-18.701493724476364,0.12408586458766449,0.2336887057124411,0.10960284112477661,0.06531316576125415,0.014925373134328358,0.11053808777506087,0.03482587064676617,0.6522522522522523,0.004975124378109453,36
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA3,1,LtoR,21,21,unresolved_nonmonotonic_or_weak,False,-0.0324571317634108,0.15032892320082672,1.000000049291299,29.99999999924725,0.030852809969394213,-188.544360893885,-183.64121818445062,4.903142709434377,0.0501751590541195,0.10092375863311254,0.05074859957899304,0.05568206808357481,0.07462686567164178,0.038112551819637894,0.024875621890547265,0.17450980392156865,0.13930348258706468,35
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA3,1,RtoL,21,21,unresolved_nonmonotonic_or_weak,False,-0.046931251841207625,0.11520333340051268,1.1517249083115844,0.5000000000023169,0.03376850944744092,-199.5084132294288,-194.74507929753284,4.763333931895971,0.05238382259848602,0.09299715750809623,0.04061333490961021,0.07285740791147019,0.2835820895522388,0.054143498127814986,0.07462686567164178,0.11093951093951093,0.22388059701492538,36
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,RSC,1,LtoR,116,21,unresolved_nonmonotonic_or_weak,False,0.04518919066475485,0.12957555430700443,34.99999999999999,1.5213556772149146,0.17204231371428036,-237.47695707236417,-238.0847201021471,-0.607763029782916,0.03998069623342685,0.07126239653086777,0.03128170029744092,0.05024794094541404,0.10945273631840796,0.042766260562144935,0.06965174129353234,0.2719887955182073,0.04975124378109453,35
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,RSC,1,RtoL,116,21,unresolved_nonmonotonic_or_weak,False,-0.04951726120111455,0.16361278834641127,1.0000000000000282,29.99999997771239,0.2312318090948744,-258.7395745284048,-262.2063432267176,-3.466768698312819,0.025617826384418806,0.07049292409347822,0.04487509770905942,0.05257421034295395,0.35323383084577115,0.03704495302496856,0.16417910447761194,0.398970398970399,0.009950248756218905,36
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA1,1,LtoR,85,27,unresolved_nonmonotonic_or_weak,False,0.005312094491622067,0.26153152510943,1.0000000000000002,3.7476881127460873,0.2556227319859311,-215.46481823299692,-221.27310991327406,-5.8082916802771365,0.1885777353709675,0.2938974425672452,0.1053197071962777,0.08271905704239868,0.004975124378109453,0.09990970578463278,0.004975124378109453,0.4941838649155723,0.004975124378109453,40
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA1,1,RtoL,85,27,present_from_first_observed_traversals,False,0.2757489791432112,0.02649333129246097,9.598561539205738,0.5000000004445544,0.06035648391894555,-248.6702734882612,-245.16046204261033,3.509811445650854,0.29461758439984975,0.2784145187776478,-0.016203065622201973,0.14272006899927348,0.004975124378109453,0.1226197929286445,0.004975124378109453,0.09924953095684805,0.27860696517412936,40
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA3,1,LtoR,27,27,unresolved_nonmonotonic_or_weak,False,0.21263157888204332,0.09972332182682714,11.43799689499142,0.5000000362788757,0.34626394904334235,-207.2437845320421,-218.2458485640191,-11.002064031977,0.20343423238613406,0.3044337924352469,0.10099956004911281,0.11140767996329032,0.004975124378109453,0.08202955665259659,0.004975124378109453,0.4606003752345217,0.004975124378109453,40
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA3,1,RtoL,27,27,present_from_first_observed_traversals,False,0.1487679408132039,0.0952291886602384,1.0000000000012528,4.074114545093567,0.03602364049638296,-216.15360130507077,-211.62114162542235,4.532459679648412,0.20282986552566812,0.22247586556242727,0.019646000036759148,0.10582423297684923,0.004975124378109453,0.11157995008078617,0.004975124378109453,0.12607879924953097,0.2835820895522388,40
