forward_connection,reverse_connection,lag_same_direction_traversals,mean_forward_minus_reverse_delta_mse,mice_forward_greater,n_mice,exact_two_sided_sign_flip_p
CA3->CA1,CA1->CA3,0,-0.02179739134179831,1,3,0.75
CA3->CA1,CA1->CA3,1,-0.037351700767706206,1,3,0.5
CA1->RSC,RSC->CA1,0,0.07298457140276679,3,3,0.25
CA1->RSC,RSC->CA1,1,-0.02640051714040199,1,3,0.5
