source,target,lag_same_direction_traversals,n_curves,n_mice,mouse_level_mean_delta_mse,mouse_level_circular_shift_p_relative,positive_gain_p,mice_positive,bh_q_positive_gain_across_8_tests,supported_positive_gain
CA1,CA3,0,12,3,-0.0037473589235656,0.0761847630473905,1.0,1,1.0,False
CA1,CA3,1,12,3,-0.0465013506295446,0.2173565286942611,1.0,1,1.0,False
CA1,RSC,0,12,3,0.020477800836229,0.0207958408318336,0.0207958408318336,1,0.166366726654669,False
CA1,RSC,1,12,3,-0.1015913535210171,0.8248350329934013,1.0,0,1.0,False
CA3,CA1,0,12,3,-0.0255447502653639,0.174365126974605,1.0,2,1.0,False
CA3,CA1,1,12,3,-0.0838530513972508,0.9498100379924016,1.0,0,1.0,False
RSC,CA1,0,12,3,-0.0525067705665377,0.6658668266346731,1.0,0,1.0,False
RSC,CA1,1,12,3,-0.0751908363806151,0.8958208358328335,1.0,0,1.0,False
