source,target,lag_same_direction_traversals,n_curves,n_mice,mouse_level_mean_delta_mse,mouse_level_circular_shift_p_relative,positive_gain_p,mice_positive,bh_q_positive_gain_across_8_tests,supported_positive_gain
CA1,CA3,0,24,4,-0.004566996996092,0.0004997501249375,1.0,1,1.0,False
CA1,CA3,1,24,4,-0.047007476873787,0.016991504247876,1.0,0,1.0,False
CA1,RSC,0,24,4,0.0813668579475963,0.0004997501249375,0.0004997501249375,2,0.0019990004997501,False
CA1,RSC,1,24,4,-0.0158909793754886,0.0004997501249375,1.0,1,1.0,False
CA3,CA1,0,24,4,-0.0131962382307529,0.0004997501249375,1.0,1,1.0,False
CA3,CA1,1,24,4,-0.0210875685761863,0.0089955022488755,1.0,0,1.0,False
RSC,CA1,0,24,4,0.0540692958388544,0.0004997501249375,0.0004997501249375,2,0.0019990004997501,False
RSC,CA1,1,24,4,-0.0177139749010604,0.0069965017491254,1.0,0,1.0,False
