subject,file,region,block,direction,direction_traversal,global_traversal,map_similarity,subsample_q025,subsample_q975,is_late_reference_traversal,n_cells_available,n_cells_equalized,duration_seconds,moving_speed_mean,moving_speed_median,moving_sample_fraction
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,LtoR,1,1,0.23894058803342003,-0.019290920485516075,0.5261383482409883,False,74,11,11.340047333333132,17.243480700746698,8.003864764716932,0.5547703180212014
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,LtoR,2,3,0.22084057609046157,-0.03140890212470317,0.41889317691167305,False,74,11,7.047368571428706,19.48670126677177,12.371251261900557,0.6404494382022472
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,LtoR,3,5,0.4050458948355339,0.05286214647072444,0.6670658733123146,False,74,11,23.142555714285663,17.366925372312053,6.821043842990839,0.28324697754749567
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,LtoR,4,7,0.41674174361970673,-0.03208915879820511,0.7242559001342802,False,74,11,16.28552380952351,16.839754311579846,6.8162040211325206,0.4034229828850856
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,LtoR,5,9,0.5233434899175586,0.07343271399928686,0.8389774752562383,False,74,11,17.78990533333399,17.827967580205353,6.413190889118473,0.35874439461883406
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,LtoR,6,11,0.44681492490353525,0.06145474058798801,0.763859197569773,False,74,11,22.108283999999912,21.593058592013136,22.361841399721122,0.22382671480144403
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,LtoR,7,13,0.35416337845962387,0.07936152641838148,0.6128560586501612,False,74,11,20.54466870588203,12.012043209077392,8.780482396405777,0.4591439688715953
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,LtoR,8,15,0.482974944081345,-0.03957660855277967,0.8634179994664735,False,74,11,10.709259428571386,20.15004477264774,15.479878952454499,0.5298507462686567
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,LtoR,9,17,0.42163216185671265,0.0687433198084367,0.7865599991152601,False,74,11,10.434304000000338,21.494520893547822,10.056191974295304,0.4770992366412214
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,LtoR,10,19,0.4646979780815156,-0.018460708321634038,0.8699763093158953,False,74,11,8.875037999999222,23.887602258364748,22.874956094366837,0.5044642857142857
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,LtoR,11,21,0.44830861024359414,0.09868597218979984,0.8173834449811915,False,74,11,11.061992476191335,20.568655269152828,15.221881231197486,0.48375451263537905
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,LtoR,12,23,0.42572862344184886,-0.14750153874852107,0.8550398836187152,False,74,11,6.035704575163436,30.90940907649348,35.36195720481549,0.5629139072847682
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,LtoR,13,25,0.4217745497812534,0.07450817768597298,0.8203725277080546,False,74,11,10.834732666666241,19.527598413023686,10.548788171267562,0.5
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,LtoR,14,27,0.35028261817143497,-0.08740175191628546,0.7676232405065089,False,74,11,5.465764857142858,34.63600805444017,43.90223313266152,0.5328467153284672
