forward_connection,reverse_connection,lag_same_direction_traversals,mean_forward_minus_reverse_delta_mse,mice_forward_greater,n_mice,exact_two_sided_sign_flip_p
CA3->CA1,CA1->CA3,0,-0.004561112182810145,1,4,0.625
CA3->CA1,CA1->CA3,1,0.01984343760653584,3,4,0.25
CA1->RSC,RSC->CA1,0,0.03383978519167635,2,4,0.5
CA1->RSC,RSC->CA1,1,-0.012098359078799518,2,4,0.5
