subject,mouse_median_delta_mse,source,target,lag_same_direction_traversals
M01,0.026453455661983094,CA1,CA3,0
M02,0.03676607910936219,CA1,CA3,0
M03,0.010995454969316754,CA1,CA3,0
M05,0.004473138290150391,CA1,CA3,0
M01,-0.03002377474491935,CA1,CA3,1
M02,-0.011659935628404117,CA1,CA3,1
M03,-0.017279126326531002,CA1,CA3,1
M05,-0.05133146692877233,CA1,CA3,1
M01,0.01949018990282192,CA1,RSC,0
M02,-0.03681498066374972,CA1,RSC,0
M03,0.049980969023334265,CA1,RSC,0
M05,0.255411241192852,CA1,RSC,0
M01,-0.011766302150630792,CA1,RSC,1
M02,-0.007512675824969284,CA1,RSC,1
M03,-0.005374765871054038,CA1,RSC,1
M05,-0.05405079300391846,CA1,RSC,1
M01,0.02208247008726119,CA3,CA1,0
M02,0.0031151139886768653,CA3,CA1,0
M03,0.006510270320052289,CA3,CA1,0
M05,0.02873582490358151,CA3,CA1,0
M01,-0.025439672048473472,CA3,CA1,1
M02,-0.013093636346927784,CA3,CA1,1
M03,-0.005751463803936992,CA3,CA1,1
M05,0.013364218996854804,CA3,CA1,1
M01,0.005547288621708613,RSC,CA1,0
M02,-0.024009804620349517,RSC,CA1,0
M03,0.04999292519353576,RSC,CA1,0
M05,0.12117786949365822,RSC,CA1,0
M01,0.0315363837377296,RSC,CA1,1
M02,-0.012173742190485878,RSC,CA1,1
M03,-0.007152806314958862,RSC,CA1,1
M05,-0.04252093576765936,RSC,CA1,1
