row_id,subject,file,block,direction,source,target,anatomical_direction,lag_same_direction_traversals,n_traversals_modeled,reduced_loocv_mse,full_loocv_mse,delta_mse_source_added,curve_circular_shift_p,n_unique_circular_shifts
28,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,0,39,0.5096310591534091,0.5173653548041218,-0.007734295650712708,0.3157894736842105,37
29,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,1,39,0.5096310591534091,0.5091477356281225,0.00048332352528657196,0.13157894736842105,37
30,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,0,39,1.2147513373752754,1.2159629713613722,-0.001211633986096805,0.2894736842105263,37
31,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,1,39,1.2147513373752754,1.1744870195358554,0.04026431783941997,0.21052631578947367,37
32,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,57,1.3084594033761958,1.4025083796926037,-0.09404897631640785,0.9642857142857143,55
33,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,57,1.3084594033761958,1.3251657867964164,-0.016706383420220572,0.3392857142857143,55
34,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,57,1.5677078147226056,1.608031167432635,-0.040323352710029514,0.6607142857142857,55
35,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,57,1.5677078147226056,1.4974123068032488,0.07029550791935679,0.05357142857142857,55
36,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,57,0.7554360210151142,0.7211768199025732,0.03425920111254099,0.125,55
37,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,57,0.7554360210151142,0.7608225023757599,-0.0053864813606456785,0.3392857142857143,55
38,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,57,1.3084594033761958,1.24469092050907,0.06376848286712589,0.07142857142857142,55
39,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,57,1.3084594033761958,1.2856509537401566,0.02280844963603923,0.23214285714285715,55
40,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,0,57,0.4615324532187827,0.4235694283337288,0.03796302488505393,0.07142857142857142,55
41,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,1,57,0.4615324532187827,0.42333339860884933,0.03819905460993339,0.07142857142857142,55
42,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,0,57,1.1830205372552114,1.0921232526908238,0.09089728456438761,0.03571428571428571,55
43,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,1,57,1.1830205372552114,1.2179580895853575,-0.03493755233014606,0.8035714285714286,55
44,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,0,57,1.038204125782184,1.0169822630788743,0.021221862703309613,0.10714285714285714,55
45,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,1,57,1.038204125782184,1.0208712199968197,0.017332905785364172,0.10714285714285714,55
46,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,0,57,0.4615324532187827,0.4594311470774248,0.0021013061413579504,0.07142857142857142,55
47,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,1,57,0.4615324532187827,0.4787627179321643,-0.01723026471338157,0.6071428571428571,55
48,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,35,1.547357458124986,1.6254245165485348,-0.07806705842354877,0.7352941176470589,33
49,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,35,1.547357458124986,1.4817351304480018,0.06562232767698428,0.2647058823529412,33
50,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,35,1.1751293462968653,1.2523104819557165,-0.07718113565885121,0.6764705882352942,33
51,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,35,1.1751293462968653,1.1245353827059112,0.05059396359095403,0.058823529411764705,33
52,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,35,1.3740205020342522,1.4622469546254124,-0.08822645259116024,0.47058823529411764,33
53,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,35,1.3740205020342522,1.454844807075299,-0.08082430504104687,0.35294117647058826,33
54,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,35,1.547357458124986,1.6450442993917542,-0.09768684126676819,0.6176470588235294,33
55,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,35,1.547357458124986,1.1575302538941885,0.38982720423079753,0.058823529411764705,33
56,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,0,34,0.8265489723741836,0.8507064654913349,-0.02415749311715132,0.2727272727272727,32
57,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,1,34,0.8265489723741836,0.839067743328219,-0.012518770954035419,0.18181818181818182,32
58,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,0,34,1.196805611151379,1.1557542398659844,0.0410513712853946,0.09090909090909091,32
59,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,1,34,1.196805611151379,1.2107792875532073,-0.013973676401828339,0.24242424242424243,32
60,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,0,34,1.1352477622724466,1.178524072264574,-0.04327630999212739,0.6060606060606061,32
61,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,1,34,1.1352477622724466,1.2217723152308968,-0.08652455295845018,0.7575757575757576,32
62,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,0,34,0.8265489723741836,0.8532251696586427,-0.026676197284459136,0.3939393939393939,32
63,M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,1,34,0.8265489723741836,0.8825601694664164,-0.05601119709223279,0.8484848484848485,32
64,M02,sub-M02_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,53,0.2135620098204734,0.21029177256727122,0.0032702372532021906,0.09615384615384616,51
65,M02,sub-M02_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,53,0.2135620098204734,0.22002339047464678,-0.006461380654173371,0.6730769230769231,51
66,M02,sub-M02_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,53,0.8192237562442584,0.7867429693109286,0.032480786933329786,0.038461538461538464,51
67,M02,sub-M02_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,53,0.8192237562442584,0.8285699510992383,-0.009346194854979895,0.23076923076923078,51
68,M02,sub-M02_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,53,0.8695687856881525,0.8774012852985535,-0.007832499610401,0.21153846153846154,51
69,M02,sub-M02_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,53,0.8695687856881525,0.8661019189714004,0.003466866716752115,0.15384615384615385,51
70,M02,sub-M02_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,53,0.2135620098204734,0.20516922090204465,0.008392788918428762,0.09615384615384616,51
