source,target,lag_same_direction_traversals,n_curves,n_mice,mouse_level_mean_delta_mse,mouse_level_circular_shift_p_relative,positive_gain_p,mice_positive,bh_q_positive_gain_across_8_tests,supported_positive_gain
CA1,CA3,0,24,4,0.0196720320077031,0.0004997501249375,0.0004997501249375,4,0.000999500249875,True
CA1,CA3,1,24,4,-0.0275735759071567,0.008495752123938,1.0,0,1.0,False
CA1,RSC,0,24,4,0.0720168548638146,0.0004997501249375,0.0004997501249375,3,0.000999500249875,True
CA1,RSC,1,24,4,-0.0196761342126431,0.0034982508745627,1.0,0,1.0,False
CA3,CA1,0,24,4,0.0151109198248929,0.0004997501249375,0.0004997501249375,4,0.000999500249875,True
CA3,CA1,1,24,4,-0.0077301383006208,0.0004997501249375,1.0,1,1.0,False
RSC,CA1,0,24,4,0.0381770696721382,0.0004997501249375,0.0004997501249375,3,0.000999500249875,True
RSC,CA1,1,24,4,-0.0075777751338436,0.000999500249875,1.0,1,1.0,False
