forward_connection,reverse_connection,lag_same_direction_traversals,mean_forward_minus_reverse_delta_mse,mice_forward_greater,n_mice,exact_two_sided_sign_flip_p
CA3->CA1,CA1->CA3,0,0.011733660761008001,3,4,0.375
CA3->CA1,CA1->CA3,1,0.005110380541094538,3,4,0.625
CA1->RSC,RSC->CA1,0,0.025607683727398405,2,4,0.5
CA1->RSC,RSC->CA1,1,-0.002989145915566935,0,4,0.125
