forward_connection,reverse_connection,lag_same_direction_traversals,mean_forward_minus_reverse_delta_mse,mice_forward_greater,n_mice,exact_two_sided_sign_flip_p
CA3->CA1,CA1->CA3,0,0.020264689186981596,3,4,0.375
CA3->CA1,CA1->CA3,1,0.00012205925659973527,1,4,1.0
CA1->RSC,RSC->CA1,0,0.040324636431844835,3,4,0.25
CA1->RSC,RSC->CA1,1,0.008523265495617164,2,4,0.75
