source,target,lag_same_direction_traversals,n_curves,n_mice,mouse_level_mean_delta_mse,mouse_level_circular_shift_p_relative,positive_gain_p,mice_positive,bh_q_positive_gain_across_8_tests,supported_positive_gain
CA1,CA3,0,24,4,-0.0144926430558794,0.0004997501249375,1.0,2,1.0,False
CA1,CA3,1,24,4,-0.0231595947317367,0.0044977511244377,1.0,0,1.0,False
CA1,RSC,0,24,4,0.0435359219484759,0.0004997501249375,0.0004997501249375,2,0.0013326669998334,False
CA1,RSC,1,24,4,-0.0362133562051495,0.0069965017491254,1.0,1,1.0,False
CA3,CA1,0,24,4,0.0057720461311021,0.0004997501249375,0.0004997501249375,2,0.0013326669998334,False
CA3,CA1,1,24,4,-0.023037535475137,0.0079960019990005,1.0,0,1.0,False
RSC,CA1,0,24,4,0.003211285516631,0.0004997501249375,0.0004997501249375,1,0.0013326669998334,False
RSC,CA1,1,24,4,-0.0447366217007666,0.0224887556221889,1.0,0,1.0,False
