subject,mouse_median_delta_mse,source,target,lag_same_direction_traversals
M01,0.021140973912167516,CA1,CA3,0
M02,-0.027395584902118297,CA1,CA3,0
M03,0.0010806811921549586,CA1,CA3,0
M05,-0.05279664242572202,CA1,CA3,0
M01,-0.03221742766264307,CA1,CA3,1
M02,-0.020042334160094655,CA1,CA3,1
M03,-0.0013555543207200704,CA1,CA3,1
M05,-0.039023062783489326,CA1,CA3,1
M01,-0.0020899977210328546,CA1,RSC,0
M02,-0.08835097493688226,CA1,RSC,0
M03,0.22256734431105396,CA1,RSC,0
M05,0.04201731614076487,CA1,RSC,0
M01,-0.04246708872990124,CA1,RSC,1
M02,-0.06671753454014717,CA1,RSC,1
M03,0.028559779115653938,CA1,RSC,1
M05,-0.06422858066620352,CA1,RSC,1
M01,0.07317220283026724,CA3,CA1,0
M02,-0.03763003607697431,CA3,CA1,0
M03,0.003539898576507605,CA3,CA1,0
M05,-0.01599388080539199,CA3,CA1,0
M01,-0.03763774641955564,CA3,CA1,1
M02,-0.02716601354751258,CA3,CA1,1
M03,-0.015323567174736236,CA3,CA1,1
M05,-0.012022814758743727,CA3,CA1,1
M01,-0.01296523349899692,RSC,CA1,0
M02,-0.08196325891151535,RSC,CA1,0
M03,0.11053130999126509,RSC,CA1,0
M05,-0.0027576755142284526,RSC,CA1,0
M01,-0.0176919034147639,RSC,CA1,1
M02,-0.06158999476647797,RSC,CA1,1
M03,-0.02703298473904521,RSC,CA1,1
M05,-0.07263160388277956,RSC,CA1,1
