subject,mouse_median_delta_mse,source,target,lag_same_direction_traversals
M01,-0.02572837569237052,CA1,CA3,0
M02,-0.02051423434752253,CA1,CA3,0
M03,0.04015810757713367,CA1,CA3,0
M05,0.015476707107763,CA1,CA3,0
M01,-0.06761787515545603,CA1,CA3,1
M02,-0.02858345170469745,CA1,CA3,1
M03,-0.009488414053990396,CA1,CA3,1
M05,-0.04090041232305153,CA1,CA3,1
M01,0.03552717771797931,CA1,RSC,0
M02,-0.019430263313933216,CA1,RSC,0
M03,0.13488533887989834,CA1,RSC,0
M05,0.081594986226385,CA1,RSC,0
M01,-0.014746320381749167,CA1,RSC,1
M02,-0.0005558045903361619,CA1,RSC,1
M03,0.006822568951989655,CA1,RSC,1
M05,-0.04217466637807055,CA1,RSC,1
M01,-0.024814529081833292,CA3,CA1,0
M02,-0.013020543140623092,CA3,CA1,0
M03,0.028226280176768807,CA3,CA1,0
M05,0.03925478349431616,CA3,CA1,0
M01,-0.01966896624137615,CA3,CA1,1
M02,-0.03945918981996174,CA3,CA1,1
M03,-0.0030359827760257224,CA3,CA1,1
M05,-0.012464699971514948,CA3,CA1,1
M01,0.02717914495916235,RSC,CA1,0
M02,0.0011846390787707273,RSC,CA1,0
M03,0.07481164015625745,RSC,CA1,0
M05,0.06274425619506618,RSC,CA1,0
M01,0.0030799271778906845,RSC,CA1,1
M02,-0.010567189026368828,RSC,CA1,1
M03,-0.009402673976701206,RSC,CA1,1
M05,-0.012571513419977809,RSC,CA1,1
