source,target,lag_same_direction_traversals,n_curves,n_mice,mouse_level_mean_delta_mse,mouse_level_circular_shift_p_relative,positive_gain_p,mice_positive,bh_q_positive_gain_across_8_tests,supported_positive_gain
CA1,CA3,0,24,4,0.0023480511612509,0.0004997501249375,0.0004997501249375,2,0.000999500249875,False
CA1,CA3,1,24,4,-0.0366475383092988,0.0164917541229385,1.0,0,1.0,False
CA1,RSC,0,24,4,0.0581443098775823,0.0004997501249375,0.0004997501249375,3,0.000999500249875,True
CA1,RSC,1,24,4,-0.0126635555995415,0.0004997501249375,1.0,1,1.0,False
CA3,CA1,0,24,4,0.0074114978621571,0.0004997501249375,0.0004997501249375,2,0.000999500249875,False
CA3,CA1,1,24,4,-0.0186572097022196,0.0089955022488755,1.0,0,1.0,False
RSC,CA1,0,24,4,0.0414799200973141,0.0004997501249375,0.0004997501249375,4,0.000999500249875,True
RSC,CA1,1,24,4,-0.0073653623112892,0.000999500249875,1.0,1,1.0,False
