source,target,lag_same_direction_traversals,n_curves,n_mice,mouse_level_mean_delta_mse,mouse_level_circular_shift_p_relative,positive_gain_p,mice_positive,bh_q_positive_gain_across_8_tests,supported_positive_gain
CA1,CA3,0,24,4,-0.0242195708161378,0.0004997501249375,1.0,1,1.0,False
CA1,CA3,1,24,4,-0.0263450481543682,0.000999500249875,1.0,0,1.0,False
CA1,RSC,0,24,4,0.0056758251906201,0.0004997501249375,0.0004997501249375,2,0.0019990004997501,False
CA1,RSC,1,24,4,0.0046923057059627,0.0004997501249375,0.0004997501249375,3,0.0019990004997501,True
CA3,CA1,0,24,4,-0.0222342256150118,0.0004997501249375,1.0,1,1.0,False
CA3,CA1,1,24,4,-0.0299259052380377,0.0104947526236881,1.0,0,1.0,False
RSC,CA1,0,24,4,-0.0217749142322749,0.0004997501249375,1.0,1,1.0,False
RSC,CA1,1,24,4,-0.0376256807790092,0.0199900049975012,1.0,0,1.0,False
