forward_connection,reverse_connection,lag_same_direction_traversals,mean_forward_minus_reverse_delta_mse,mice_forward_greater,n_mice,exact_two_sided_sign_flip_p
CA3->CA1,CA1->CA3,0,0.001985345201125987,3,4,0.75
CA3->CA1,CA1->CA3,1,-0.0035808570836694427,2,4,1.0
CA1->RSC,RSC->CA1,0,0.02745073942289505,3,4,0.25
CA1->RSC,RSC->CA1,1,0.04231798648497208,3,4,0.375
