forward_connection,reverse_connection,lag_same_direction_traversals,mean_forward_minus_reverse_delta_mse,mice_forward_greater,n_mice,exact_two_sided_sign_flip_p
CA3->CA1,CA1->CA3,0,-0.0059687539820932,1,4,0.5
CA3->CA1,CA1->CA3,1,0.01753029082761008,3,4,0.375
CA1->RSC,RSC->CA1,0,0.018180279461051645,2,4,0.5
CA1->RSC,RSC->CA1,1,-0.006725800920186037,2,4,0.875
