source,target,lag_same_direction_traversals,n_curves,n_mice,mouse_level_mean_delta_mse,mouse_level_circular_shift_p_relative,positive_gain_p,mice_positive,bh_q_positive_gain_across_8_tests,supported_positive_gain
CA1,CA3,0,24,4,0.0172165063294975,0.0001999600079984,0.0001999600079984,3,0.0003999200159968,True
CA1,CA3,1,24,4,-0.0419454406321365,0.0217956408718256,1.0,0,1.0,False
CA1,RSC,0,24,4,0.0801313752693687,0.0001999600079984,0.0001999600079984,3,0.0003999200159968,True
CA1,RSC,1,24,4,-0.0165540545949709,0.0011997600479904,1.0,2,1.0,False
CA3,CA1,0,24,4,0.0112477523474043,0.0001999600079984,0.0001999600079984,3,0.0003999200159968,True
CA3,CA1,1,24,4,-0.0244151498045264,0.0215956808638272,1.0,0,1.0,False
RSC,CA1,0,24,4,0.0619510958083171,0.0001999600079984,0.0001999600079984,3,0.0003999200159968,True
RSC,CA1,1,24,4,-0.0098282536747849,0.0017996400719856,1.0,0,1.0,False
