subject,file,region,block,direction,n_cells_available,n_cells_equalized,fit_status,midpoint_usable,low,amplitude,midpoint,scale,r_squared,constant_aic,sigmoid_aic,delta_aic_sigmoid_minus_constant,early_five_mean,late_five_mean,late_minus_early,early_identity_null_q95,early_identity_null_p,early_spatial_null_q95,early_spatial_null_p,monotonic_trend_rho,monotonic_trend_p,n_scores
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,142,21,unresolved_nonmonotonic_or_weak,False,0.02796820881429697,0.2726054871992245,1.0000000000000002,4.1328991517102995,0.47998940369050425,-202.7847621935064,-219.67147534686714,-16.886713153360745,0.19060424741890822,0.31627126204574746,0.12566701462683924,0.1250279802601283,0.004975124378109453,0.07851972494830087,0.004975124378109453,0.5971988795518207,0.004975124378109453,35
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,RtoL,142,21,unresolved_nonmonotonic_or_weak,False,0.02371117305029,0.2840851406272607,1.000000000000778,15.19578980737946,0.5299400721575251,-216.04172613391714,-237.21794924282025,-21.176223108903116,0.16725546721448664,0.27543359913601895,0.1081781319215323,0.07749732496520047,0.014925373134328358,0.12196845525570336,0.024875621890547265,0.7444015444015444,0.004975124378109453,36
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA3,1,LtoR,21,21,unresolved_nonmonotonic_or_weak,False,-0.08034220748480747,0.15494217679946545,1.0000000000000002,4.100468743130712,0.14269563680023734,-199.9975395093229,-199.38621909385324,0.6113204154696632,0.03188938894315217,0.08438977358332048,0.052500384640168304,0.06389598282422827,0.43283582089552236,0.04138613592183846,0.12437810945273632,0.36022408963585434,0.01990049751243781,35
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA3,1,RtoL,21,21,unresolved_nonmonotonic_or_weak,False,0.07342734843012945,7.782783819746215e-10,1.215633737420271,29.99430518093044,-2.6164537203499094e-10,-184.12618682198033,-178.12618681256106,6.000000009419267,0.08216954959103775,0.09296801731184826,0.0107984677208105,0.09281506189303268,0.13432835820895522,0.05342951101150154,0.009950248756218905,-0.09987129987129988,0.7114427860696517,36
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,RSC,1,LtoR,116,21,unresolved_nonmonotonic_or_weak,False,0.049357232251392644,0.14696511739324017,34.999999999999716,0.5000000000349437,0.13502141793066724,-234.71083392364608,-233.7876025776064,0.923231346039671,0.04544036529503207,0.05847256999963461,0.013032204704602542,0.048668863608143265,0.05970149253731343,0.04727607439902748,0.06965174129353234,0.09439775910364147,0.23880597014925373,35
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,RSC,1,RtoL,116,21,unresolved_nonmonotonic_or_weak,False,-0.026724348370407755,0.11052272948078391,1.0000000000000002,10.952243485052913,0.3619261416171564,-261.65653972337975,-271.8313842498827,-10.174844526502966,0.026970320680461412,0.07319038004045002,0.0462200593599886,0.05480950014738652,0.31840796019900497,0.04367066080015928,0.21393034825870647,0.5227799227799228,0.004975124378109453,36
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA1,1,LtoR,85,27,unresolved_nonmonotonic_or_weak,False,0.025054939603899682,0.27415393199965027,1.93247978792593,0.5244099982170058,0.3556183666937178,-211.45093345286958,-223.02949865659514,-11.57856520372556,0.21891073608671469,0.33074394249655426,0.11183320640983957,0.09511242817154057,0.004975124378109453,0.12702002791143086,0.004975124378109453,0.36791744840525337,0.01990049751243781,40
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA1,1,RtoL,85,27,present_from_first_observed_traversals,False,0.3208684314805552,0.04036262412112471,11.06794071288962,0.5000000000000001,0.14214672907104942,-244.92946878559917,-245.06235706647396,-0.13288828087479487,0.33888078015874107,0.3382225721524956,-0.0006582080062454421,0.1611095259816469,0.004975124378109453,0.13818708584443778,0.004975124378109453,0.29756097560975614,0.03482587064676617,40
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA3,1,LtoR,27,27,unresolved_nonmonotonic_or_weak,False,-0.05185049667790817,0.4000128409061792,1.0000000000000002,3.0174381574385385,0.2997277892487511,-192.66812784229901,-200.91957372342955,-8.251445881130536,0.222584576670615,0.3348235269115241,0.11223895024090913,0.1230299894224156,0.004975124378109453,0.09012699873353137,0.004975124378109453,0.3095684803001877,0.024875621890547265,40
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA3,1,RtoL,27,27,present_from_first_observed_traversals,False,0.2557429582956012,0.03814564000101455,14.852286403223431,0.5000000007545137,0.052156948156104166,-202.18112203287905,-198.3237759352751,3.857346097603937,0.2657637411180181,0.24759778396254467,-0.018165957155473422,0.10509381518647422,0.004975124378109453,0.14206012837420737,0.004975124378109453,0.0804878048780488,0.3681592039800995,40
