source,target,lag_same_direction_traversals,n_curves,n_mice,mouse_level_mean_delta_mse,mouse_level_circular_shift_p_relative,positive_gain_p,mice_positive,bh_q_positive_gain_across_8_tests,supported_positive_gain
CA1,CA3,0,24,4,-0.0815628109062055,0.171365726854629,1.0,1,1.0,False
CA1,CA3,1,24,4,-0.0750930600889855,0.1385722855428914,1.0,1,1.0,False
CA1,RSC,0,24,4,0.1522767231206767,0.0001999600079984,0.0001999600079984,3,0.0007998400319936,True
CA1,RSC,1,24,4,-0.0612038537645144,0.167366526694661,1.0,0,1.0,False
CA3,CA1,0,24,4,-0.0916934604476576,0.5182963407318536,1.0,1,1.0,False
CA3,CA1,1,24,4,-0.0650349475557709,0.2235552889422115,1.0,0,1.0,False
RSC,CA1,0,24,4,0.1481866091263891,0.0001999600079984,0.0001999600079984,2,0.0007998400319936,False
RSC,CA1,1,24,4,-0.0885149455533697,0.3195360927814437,1.0,1,1.0,False
