source,target,lag_same_direction_traversals,n_curves,n_mice,mouse_level_mean_delta_mse,mouse_level_circular_shift_p_relative,positive_gain_p,mice_positive,bh_q_positive_gain_across_8_tests,supported_positive_gain
CA1,CA3,0,24,4,-0.0233751878588097,0.0004997501249375,1.0,2,1.0,False
CA1,CA3,1,24,4,-0.0373924756214396,0.008495752123938,1.0,0,1.0,False
CA1,RSC,0,24,4,0.011577050269277,0.0004997501249375,0.0004997501249375,2,0.0013326669998334,False
CA1,RSC,1,24,4,0.0005958321306811,0.0004997501249375,0.0004997501249375,2,0.0013326669998334,False
CA3,CA1,0,24,4,-0.0157749952055452,0.0004997501249375,1.0,1,1.0,False
CA3,CA1,1,24,4,-0.0334947473973282,0.0144927536231884,1.0,0,1.0,False
RSC,CA1,0,24,4,0.0090617577761458,0.0004997501249375,0.0004997501249375,2,0.0013326669998334,False
RSC,CA1,1,24,4,-0.0413103001715103,0.0234882558720639,1.0,0,1.0,False
