forward_connection,reverse_connection,lag_same_direction_traversals,mean_forward_minus_reverse_delta_mse,mice_forward_greater,n_mice,exact_two_sided_sign_flip_p
CA3->CA1,CA1->CA3,0,0.007600192653264535,2,4,0.75
CA3->CA1,CA1->CA3,1,0.003897728224111399,3,4,0.625
CA1->RSC,RSC->CA1,0,0.0025152924931311858,2,4,1.0
CA1->RSC,RSC->CA1,1,0.041906132302191514,3,4,0.375
