subject,file,region,block,direction,n_cells_available,n_cells_equalized,fit_status,midpoint_usable,low,amplitude,midpoint,scale,r_squared,constant_aic,sigmoid_aic,delta_aic_sigmoid_minus_constant,early_five_mean,late_five_mean,late_minus_early,early_identity_null_q95,early_identity_null_p,early_spatial_null_q95,early_spatial_null_p,monotonic_trend_rho,monotonic_trend_p,n_scores
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,142,21,detectable_transition,True,0.1675574230626437,0.1124170621789259,4.959045046021992,0.5000000000008893,0.4164930106857977,-202.03983200356004,-214.8942917209448,-12.85445971738477,0.1849500922803121,0.30307889725533227,0.11812880497502018,0.11436932053919963,0.011976047904191617,0.0944538111106049,0.003992015968063872,0.4871148459383754,0.001996007984031936,35
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,RtoL,142,21,unresolved_nonmonotonic_or_weak,False,0.001521144045739464,0.2856804962105951,1.0000000000000089,10.56469865350426,0.5764412179532163,-209.42447039666445,-234.35073745847617,-24.92626706181173,0.1495632979078771,0.2753721301865609,0.12580883227868384,0.0981342778051658,0.021956087824351298,0.11292818099874427,0.031936127744510975,0.7570141570141571,0.001996007984031936,36
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA3,1,LtoR,21,21,unresolved_nonmonotonic_or_weak,False,-0.0785974059078967,0.16083817066332048,1.0000000000000013,5.267413679260881,0.1111581756540646,-185.33729075663902,-183.46155022005334,1.8757405365856812,0.03510011180732399,0.0947854042815974,0.05968529247427341,0.05835756896901132,0.24750499001996007,0.048748967625812926,0.11177644710578842,0.3098039215686275,0.03792415169660679,35
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA3,1,RtoL,21,21,unresolved_nonmonotonic_or_weak,False,0.06470746027937685,5.145308616516073e-10,2.180396824092418,29.98834573052379,-1.4924927960180412e-10,-198.27844514451985,-192.27844513914692,6.000000005372925,0.07352690302765019,0.08031580503743455,0.006788902009784353,0.08795714745758781,0.15568862275449102,0.05611368885367562,0.02594810379241517,-0.05637065637065637,0.6686626746506986,36
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,RSC,1,LtoR,116,21,unresolved_nonmonotonic_or_weak,False,0.04796564977605088,0.17116907488990357,34.99999999999996,0.5000000032894074,0.22312576236193282,-241.61944880151918,-244.45613673278973,-2.8366879312705464,0.04388231790945983,0.0665799602019051,0.022697642292445266,0.05577348516206927,0.0998003992015968,0.053844873012187176,0.08183632734530938,0.27338935574229695,0.043912175648702596,35
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,RSC,1,RtoL,116,21,unresolved_nonmonotonic_or_weak,False,-0.04203678133885606,0.1327002032361607,1.0000000000000002,14.233985793770984,0.3731556757883542,-256.06226090456124,-266.8763149177266,-10.814054013165332,0.018331109237221695,0.07685391245442148,0.058522803217199784,0.05178822977473135,0.3992015968063872,0.044328261752096386,0.24550898203592814,0.581981981981982,0.001996007984031936,36
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA1,1,LtoR,85,27,unresolved_nonmonotonic_or_weak,False,-0.012297483726582676,0.306547059367929,1.6704036504082371,0.5000000000000152,0.3493730095248223,-211.654038482307,-222.8467896938966,-11.19275121158961,0.2204926316599211,0.327381483510672,0.10688885185075087,0.09307558389994193,0.001996007984031936,0.12100732294501904,0.001996007984031936,0.3489681050656661,0.021956087824351298,40
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA1,1,RtoL,85,27,present_from_first_observed_traversals,False,0.30965524824785373,0.048892529004660235,11.749449295311512,0.5000000000072361,0.16194305224111616,-233.13536343029045,-234.202132392537,-1.066768962246556,0.3285725060216034,0.34721349376335386,0.018640987741750437,0.16318914120584513,0.001996007984031936,0.13553732510700728,0.001996007984031936,0.39812382739212016,0.00998003992015968,40
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA3,1,LtoR,27,27,unresolved_nonmonotonic_or_weak,False,-0.058786066843103585,0.389224612872149,1.0000000000000002,3.41900846023035,0.3445641273876716,-197.60487340997588,-208.50306582171584,-10.898192411739956,0.20497117718305216,0.3391616967923321,0.13419051960927994,0.09479371998359021,0.001996007984031936,0.09983923572249406,0.001996007984031936,0.42288930581613515,0.005988023952095809,40
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA3,1,RtoL,27,27,present_from_first_observed_traversals,False,0.2335570201362491,0.04272284604558843,15.03446568705474,0.5000000000176251,0.07302485820058491,-206.34638528023078,-203.37952646127843,2.966858818952346,0.24855587253342115,0.22885885942769146,-0.019697013105729688,0.0987189688698094,0.001996007984031936,0.13388288819919814,0.001996007984031936,0.07242026266416511,0.3413173652694611,40
