subject,file,region,block,direction,raw_fit_status,raw_midpoint,behavior_cv_r2,behavior_ridge_alpha,adjusted_fit_status,adjusted_midpoint_usable,adjusted_low,adjusted_amplitude,adjusted_midpoint,adjusted_scale,adjusted_r_squared,adjusted_constant_aic,adjusted_sigmoid_aic,adjusted_delta_aic_sigmoid_minus_constant,adjusted_early_five_mean,adjusted_late_five_mean,adjusted_late_minus_early,adjusted_early_identity_null_q95,adjusted_early_identity_null_p,adjusted_early_spatial_null_q95,adjusted_early_spatial_null_p,adjusted_monotonic_trend_rho,adjusted_monotonic_trend_p,adjusted_n_scores
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,detectable_transition,4.959045046021992,-0.024516862270401285,1.0,unresolved_nonmonotonic_or_weak,False,0.019878810577132703,0.3752407771164878,1.000000000006515,25.90058884224144,0.3494917447882968,-201.19710633956842,-210.2471515086916,-9.050045169123166,0.19312542690383586,0.3003754312128047,0.10725000430896883,0.12254465516272342,0.0119760479041916,0.10262914573412872,0.0039920159680638,0.5801120448179272,0.001996007984031936,35
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,RtoL,unresolved_nonmonotonic_or_weak,1.0000000000000089,-0.0794277933524059,1.0,unresolved_nonmonotonic_or_weak,False,-0.013045951288270179,0.2859045372284147,1.0000000000101024,8.000495615701153,0.5754323830263648,-206.7409229839331,-231.58154697523747,-24.84062399130437,0.13914565506087398,0.26626225102770607,0.12711659596683209,0.08771663495816266,0.0219560878243512,0.10251053815174106,0.0319361277445109,0.7078507078507079,0.001996007984031936,36
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA3,1,LtoR,unresolved_nonmonotonic_or_weak,1.000000000000001,-0.1400461466308922,1.0,unresolved_nonmonotonic_or_weak,False,-0.0024200883975805183,0.0717936871757414,3.0521478236782436,0.5000000000000002,0.05100039339445206,-180.7501367257713,-176.5822780475538,4.167858678217499,0.056736252846450994,0.06704138737848996,0.010305134532038962,0.07999371000813836,0.24750499001996,0.07038510866493997,0.1117764471057884,0.12633053221288518,0.19760479041916168,35
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA3,1,RtoL,unresolved_nonmonotonic_or_weak,2.180396824092418,-0.33017036136424327,1.0,unresolved_nonmonotonic_or_weak,False,0.06306459404179819,3.453915504287135e-12,28.016178594625167,29.984946741668566,-1.6162626792493029e-12,-188.02643870724557,-182.02643870718742,6.000000000058151,0.06471723743456968,0.06041083180405571,-0.004306405630513974,0.07914748186450736,0.155688622754491,0.04730402326059516,0.0259481037924151,-0.1523809523809524,0.8223552894211577,36
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,RSC,1,LtoR,unresolved_nonmonotonic_or_weak,34.99999999999996,-0.20854461882998487,1.0,unresolved_nonmonotonic_or_weak,False,0.04765565339931964,0.17647580181258332,34.99999999999999,0.6057362088188175,0.2041580882346059,-234.990266652244,-236.98268171825734,-1.9924150660133364,0.04425116573133413,0.0723482521397889,0.028097086408454777,0.05614233298394352,0.0998003992015968,0.05421372083406142,0.0818363273453093,0.2801120448179272,0.05588822355289421,35
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,RSC,1,RtoL,unresolved_nonmonotonic_or_weak,1.0000000000000002,-0.4145030641249565,1.0,unresolved_nonmonotonic_or_weak,False,-0.043806606792508244,0.12327836646394902,1.0000000000000002,9.818182778858633,0.28580489914457585,-243.63713755364063,-249.7547052785922,-6.117567724951584,0.016047029220371024,0.06828655916509467,0.052239529944723646,0.049504149757880665,0.3992015968063872,0.04204418173524567,0.2455089820359281,0.5474903474903475,0.001996007984031936,36
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA1,1,LtoR,unresolved_nonmonotonic_or_weak,1.6704036504082371,-0.06314226815354185,1.0,present_from_first_observed_traversals,False,0.2078725705783628,0.219230207622037,39.99999999998465,29.999999999998042,0.06899786608826242,-209.2099730549122,-206.0697214406535,3.140251614258716,0.2446891874131481,0.33569366185187965,0.09100447443873155,0.11727213965316889,0.0019960079840319,0.14520387869824597,0.0019960079840319,0.2983114446529081,0.03792415169660679,40
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA1,1,RtoL,present_from_first_observed_traversals,11.749449295311512,-0.02048239245923833,1.0,present_from_first_observed_traversals,False,0.31288791016867656,0.044312737122938414,11.529997903567535,0.5000000000033213,0.12870534728677818,-232.3248177578691,-231.8358204338666,0.4889973240025256,0.3394949878066441,0.3415804185116409,0.0020854307049967824,0.1741116229908859,0.0019960079840319,0.146459806892048,0.0019960079840319,0.2675422138836773,0.05389221556886228,40
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA3,1,LtoR,unresolved_nonmonotonic_or_weak,1.0000000000000002,0.15229495073158061,1.0,unresolved_nonmonotonic_or_weak,False,0.08559905480334826,0.24609546057717002,1.0000000000001292,6.236850276874079,0.21316322671907828,-204.22513248085866,-207.8145107122578,-3.589378231399138,0.23624719457622562,0.34793517153321274,0.11168797695698712,0.12606973737676364,0.0019960079840319,0.1311152531156674,0.0019960079840319,0.3352720450281426,0.017964071856287425,40
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA3,1,RtoL,present_from_first_observed_traversals,15.03446568705474,-0.09366041312567819,1.0,present_from_first_observed_traversals,False,0.23446631696772838,0.03895995754879037,15.295436366186143,0.5000000000657125,0.0560056789295984,-202.78544458363362,-199.090849730433,3.6945948532006128,0.27380018761585634,0.25402797632567065,-0.019772211290185693,0.12396328395224458,0.0019960079840319,0.1591272032816333,0.0019960079840319,0.1375234521575985,0.21157684630738524,40
