source,target,lag_same_direction_traversals,n_curves,n_mice,mouse_level_mean_delta_mse,mouse_level_circular_shift_p_relative,positive_gain_p,mice_positive,bh_q_positive_gain_across_8_tests,supported_positive_gain
CA1,CA3,0,24,4,0.0179253738508694,0.0004997501249375,0.0004997501249375,3,0.000999500249875,True
CA1,CA3,1,24,4,-0.0319628044161909,0.0129935032483758,1.0,0,1.0,False
CA1,RSC,0,24,4,0.0798238836975701,0.0004997501249375,0.0004997501249375,2,0.000999500249875,False
CA1,RSC,1,24,4,-0.0032853397353031,0.0004997501249375,1.0,2,1.0,False
CA3,CA1,0,24,4,0.0183915843952425,0.0004997501249375,0.0004997501249375,4,0.000999500249875,True
CA3,CA1,1,24,4,-0.023360707090831,0.0164917541229385,1.0,0,1.0,False
RSC,CA1,0,24,4,0.0260181051165244,0.0004997501249375,0.0004997501249375,2,0.000999500249875,False
RSC,CA1,1,24,4,-0.0179227662663834,0.0099950024987506,1.0,0,1.0,False
