subject,file,region,block,direction,n_cells_available,n_cells_equalized,fit_status,midpoint_usable,low,amplitude,midpoint,scale,r_squared,constant_aic,sigmoid_aic,delta_aic_sigmoid_minus_constant,early_five_mean,late_five_mean,late_minus_early,early_identity_null_q95,early_identity_null_p,early_spatial_null_q95,early_spatial_null_p,monotonic_trend_rho,monotonic_trend_p,n_scores
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,142,21,unresolved_nonmonotonic_or_weak,False,0.04597047410591071,0.29556881388071926,1.0000000000002451,4.034331169931634,0.39851491998705724,-190.987607219965,-202.77998141776442,-11.792374197799404,0.2233018681533708,0.35383765550683655,0.13053578735346574,0.14475776534723467,0.004975124378109453,0.07821530418923046,0.004975124378109453,0.5296918767507003,0.004975124378109453,35
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,RtoL,142,21,unresolved_nonmonotonic_or_weak,False,-0.02174754877131308,0.32403136219446954,1.0000000000000002,5.377418962530317,0.5027406243038623,-194.7751998496461,-213.9263660775445,-19.151166227898386,0.15993758762366278,0.3138587554079984,0.15392116778433562,0.08511385066954383,0.01990049751243781,0.1392813119775178,0.03482587064676617,0.6185328185328186,0.004975124378109453,36
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA3,1,LtoR,21,21,unresolved_nonmonotonic_or_weak,False,0.04605742687825368,0.09601430543955511,27.084854092026934,0.5000000000000001,0.22313089177369516,-171.8960287930722,-174.73294781709325,-2.836919024021057,0.02690056039671057,0.1299994843025983,0.10309892390588773,0.06088776740118265,0.4079601990049751,0.0417407779625558,0.1691542288557214,0.3851540616246499,0.014925373134328358,35
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,CA3,1,RtoL,21,21,present_from_first_observed_traversals,False,0.10044240773710401,2.527018317029972e-10,35.99999994910964,29.999999999954127,-2.0303758674344863e-11,-171.0525817612782,-165.05258176054727,6.000000000730921,0.11492395037251184,0.14016821394515375,0.02524426357264191,0.10725693670797148,0.03482587064676617,0.058943720680041285,0.004975124378109453,0.026512226512226515,0.43781094527363185,36
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,RSC,1,LtoR,116,21,unresolved_nonmonotonic_or_weak,False,0.05081031523534832,0.15318141502482358,34.61105354757466,0.5000000000000038,0.17154246155055553,-216.56064958407913,-217.14728889319082,-0.586639309111689,0.04917407971468969,0.07061150332372064,0.021437423609030948,0.05868697452348941,0.0945273631840796,0.06453986775041125,0.0845771144278607,0.12156862745098039,0.22885572139303484,35
M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,RSC,1,RtoL,116,21,unresolved_nonmonotonic_or_weak,False,0.01324274694534913,0.05746259116406381,6.490636715218821,0.5000000000000002,0.35448389089363685,-241.2429867756277,-251.00037084340744,-9.757384067779725,0.01648736243184126,0.07365967522459987,0.05717231279275861,0.054953186116782016,0.373134328358209,0.05387079775595275,0.30845771144278605,0.46949806949806955,0.004975124378109453,36
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA1,1,LtoR,85,27,unresolved_nonmonotonic_or_weak,False,-0.2180131204907726,0.5466505023084985,1.0000000000000078,0.8166155001997073,0.3220538266763775,-197.94540531026865,-207.49290069312713,-9.547495382858472,0.23471365222574797,0.3555754405348332,0.12086178830908523,0.1094399772363766,0.004975124378109453,0.11406816174622465,0.004975124378109453,0.3352720450281426,0.029850746268656716,40
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA1,1,RtoL,85,27,present_from_first_observed_traversals,False,0.3396167392654162,0.07269407991043554,10.803915689841194,0.5000000000000001,0.3214679424317167,-231.20070573560366,-240.71364786031168,-9.512942124708019,0.3546141723077243,0.4093079101975892,0.054693737889864924,0.17249793016777074,0.004975124378109453,0.1262291100558149,0.004975124378109453,0.4227016885553471,0.004975124378109453,40
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA3,1,LtoR,27,27,unresolved_nonmonotonic_or_weak,False,-0.011334889297675843,0.38964986615145786,1.0000000000000002,5.076233573545094,0.37143610060588306,-192.6278924338253,-205.2005958914041,-12.572703457578797,0.23156291749545188,0.39797176158897396,0.16640884409352208,0.12616154571753607,0.004975124378109453,0.0739109788676115,0.004975124378109453,0.551031894934334,0.004975124378109453,40
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,CA3,1,RtoL,27,27,present_from_first_observed_traversals,False,0.20074590489987892,0.06237421265781814,11.652066077130245,0.5000000000000022,0.08103563183098816,-186.18227741831822,-183.56259460924224,2.6196828090759823,0.20115417630953653,0.1654629498177897,-0.03569122649174683,0.12093696578009885,0.009950248756218905,0.13424388859229702,0.009950248756218905,0.006378986866791747,0.5074626865671642,40
