source,target,lag_same_direction_traversals,n_curves,n_mice,mouse_level_mean_delta_mse,mouse_level_circular_shift_p_relative,positive_gain_p,mice_positive,bh_q_positive_gain_across_8_tests,supported_positive_gain
CA1,CA3,0,24,4,-0.0314053153212292,0.0001999600079984,1.0,0,1.0,False
CA1,CA3,1,24,4,-0.046322920809287,0.0233953209358128,1.0,0,1.0,False
CA1,RSC,0,24,4,0.0683791728018359,0.0001999600079984,0.0001999600079984,3,0.0007998400319936,True
CA1,RSC,1,24,4,-0.0167574991305454,0.0017996400719856,1.0,1,1.0,False
CA3,CA1,0,24,4,-0.0166242546415565,0.0001999600079984,1.0,2,1.0,False
CA3,CA1,1,24,4,-0.0455797314109011,0.0313937212557488,1.0,0,1.0,False
RSC,CA1,0,24,4,0.0167321046358932,0.0001999600079984,0.0001999600079984,2,0.0007998400319936,False
RSC,CA1,1,24,4,-0.0401906210184452,0.0271945610877824,1.0,0,1.0,False
