forward_connection,reverse_connection,lag_same_direction_traversals,mean_forward_minus_reverse_delta_mse,mice_forward_greater,n_mice,exact_two_sided_sign_flip_p
CA3->CA1,CA1->CA3,0,-0.00125006099569102,1,4,0.875
CA3->CA1,CA1->CA3,1,-0.0065824296912650425,2,4,0.875
CA1->RSC,RSC->CA1,0,0.008488710301380514,1,4,1.0
CA1->RSC,RSC->CA1,1,-0.03887780421706971,1,4,0.25
