row_id,subject,file,block,direction,source,target,anatomical_direction,lag_same_direction_traversals,n_traversals_modeled,reduced_loocv_mse,full_loocv_mse,delta_mse_source_added,curve_circular_shift_p,n_unique_circular_shifts
0,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,22,1.045897802380499,1.1049128040718907,-0.05901500169139173,0.38095238095238093,20
1,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,22,1.045897802380499,0.8274541461097715,0.21844365627072748,0.047619047619047616,20
2,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,22,2.7351652537300852,2.774253492891192,-0.03908823916110693,0.47619047619047616,20
3,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,22,2.7351652537300852,2.7701644797834777,-0.03499922605339245,0.5238095238095238,20
4,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,22,1.8274697492369478,1.8508348049835426,-0.023365055746594754,0.5714285714285714,20
5,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,22,1.8274697492369478,1.5624816051879684,0.2649881440489794,0.23809523809523808,20
6,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,22,1.045897802380499,0.7714448417243372,0.27445296065616176,0.09523809523809523,20
7,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,22,1.045897802380499,0.808271889702862,0.237625912677637,0.09523809523809523,20
8,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,0,23,0.5017529063940108,0.5330404027541035,-0.03128749636009265,0.45454545454545453,21
9,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,1,23,0.5017529063940108,0.533250197843331,-0.03149729144932023,0.5,21
10,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,0,23,1.615722272365355,1.7618011252366632,-0.14607885287130817,0.7727272727272727,21
11,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,1,23,1.615722272365355,1.7542951586289564,-0.1385728862636013,0.6818181818181818,21
12,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,0,23,1.8825960470807854,1.9364232405357535,-0.053827193454968114,0.36363636363636365,21
13,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,1,23,1.8825960470807854,2.1418784255315133,-0.2592823784507279,0.9090909090909091,21
14,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,0,23,0.5017529063940108,0.5915298961697352,-0.08977698977572435,1.0,21
15,M01,sub-M01_ses-20240312T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,1,23,0.5017529063940108,0.5096297783657845,-0.007876871971773669,0.3181818181818182,21
16,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,27,1.5793437837315025,1.7111947014325677,-0.13185091770106516,0.7307692307692307,25
17,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,27,1.5793437837315025,1.4977780849393658,0.08156569879213671,0.19230769230769232,25
18,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,27,0.8133253844251518,0.693730552269425,0.11959483215572675,0.07692307692307693,25
19,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,27,0.8133253844251518,0.8951895643558031,-0.08186417993065132,0.7307692307692307,25
20,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,27,0.8974516981796056,0.7329478682791567,0.16450382990044887,0.038461538461538464,25
21,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,27,0.8974516981796056,0.9981384624586612,-0.10068676427905565,0.9230769230769231,25
22,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,27,1.5793437837315025,1.4411869385811675,0.138156845150335,0.11538461538461539,25
23,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,27,1.5793437837315025,1.5588491153028525,0.020494668428649998,0.3076923076923077,25
24,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,0,27,1.4755788641866479,1.6596433862228277,-0.18406452203617985,0.9615384615384616,25
25,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,1,27,1.4755788641866479,1.574873690372517,-0.09929482618586905,0.6538461538461539,25
26,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,0,27,1.6508880406040907,1.8416243049103405,-0.1907362643062498,0.8846153846153846,25
27,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,1,27,1.6508880406040907,1.8301170525137895,-0.17922901190969887,0.8846153846153846,25
28,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,0,27,0.8596128053233821,0.9351316945058993,-0.07551888918251715,0.6153846153846154,25
29,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,CA1,RSC,forward,1,27,0.8596128053233821,0.9366672740683013,-0.07705446874491917,0.5769230769230769,25
30,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,0,27,1.4755788641866479,1.5352888984529196,-0.05971003426627175,0.46153846153846156,25
31,M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,1,RtoL,RSC,CA1,reverse,1,27,1.4755788641866479,1.4281245479150553,0.04745431627159258,0.15384615384615385,25
32,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,0,45,0.8103829984110564,0.8498298339657966,-0.039446835554740156,0.6818181818181818,43
33,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA3,CA1,forward,1,45,0.8103829984110564,0.8594591056056698,-0.049076107194613416,0.8409090909090909,43
34,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,0,45,0.9028470756101512,0.911556850579819,-0.008709774969667738,0.29545454545454547,43
35,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA1,CA3,reverse,1,45,0.9028470756101512,0.8253571821021107,0.07748989350804047,0.045454545454545456,43
36,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,0,45,0.4988582685250605,0.5128053072391634,-0.01394703871410291,0.5909090909090909,43
37,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,CA1,RSC,forward,1,45,0.4988582685250605,0.5135295034954548,-0.014671234970394298,0.6590909090909091,43
38,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,0,45,0.8103829984110564,0.8165399624642651,-0.006156964053208647,0.2727272727272727,43
39,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,LtoR,RSC,CA1,reverse,1,45,0.8103829984110564,0.6853148187004644,0.12506817971059203,0.045454545454545456,43
40,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,0,45,0.3970601006024673,0.37799725112794763,0.019062849474519694,0.09090909090909091,43
41,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,RtoL,CA3,CA1,forward,1,45,0.3970601006024673,0.40434444292780436,-0.007284342325337034,0.38636363636363635,43
42,M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,1,RtoL,CA1,CA3,reverse,0,45,1.0955674428188609,1.0407176089441041,0.054849833874756726,0.09090909090909091,43
