source,target,lag_same_direction_traversals,n_curves,n_mice,mouse_level_mean_delta_mse,mouse_level_circular_shift_p_relative,positive_gain_p,mice_positive,bh_q_positive_gain_across_8_tests,supported_positive_gain
CA1,CA3,0,24,4,-0.0151730822061965,0.0004997501249375,1.0,1,1.0,False
CA1,CA3,1,24,4,-0.0296567763283262,0.0074962518740629,1.0,1,1.0,False
CA1,RSC,0,24,4,0.0178504069952563,0.0004997501249375,0.0004997501249375,1,0.0019990004997501,False
CA1,RSC,1,24,4,-0.051001509547602,0.0249875062468765,1.0,0,1.0,False
CA3,CA1,0,24,4,-0.0164231432018875,0.0004997501249375,1.0,1,1.0,False
CA3,CA1,1,24,4,-0.0362392060195913,0.0174912543728135,1.0,0,1.0,False
RSC,CA1,0,24,4,0.0093616966938758,0.0004997501249375,0.0004997501249375,2,0.0019990004997501,False
RSC,CA1,1,24,4,-0.0121237053305322,0.0004997501249375,1.0,1,1.0,False
