subject,mouse_median_delta_mse,source,target,lag_same_direction_traversals
M01,-0.023899007065387334,CA1,CA3,0
M02,-0.028068447021239118,CA1,CA3,0
M03,0.0073942781271932045,CA1,CA3,0
M05,-0.016119152865352926,CA1,CA3,0
M01,-0.05843170299202188,CA1,CA3,1
M02,0.0019148340778505635,CA1,CA3,1
M03,-0.02449585099054391,CA1,CA3,1
M05,-0.0376143854085898,CA1,CA3,1
M01,-0.024843117512496793,CA1,RSC,0
M02,-0.02840890244548233,CA1,RSC,0
M03,0.15280269148833386,CA1,RSC,0
M05,-0.028149043549329233,CA1,RSC,0
M01,-0.04586285185765673,CA1,RSC,1
M02,-0.07751540814121449,CA1,RSC,1
M03,-0.0055979545271852005,CA1,RSC,1
M05,-0.07502982366435157,CA1,RSC,1
M01,-0.049230918623065945,CA3,CA1,0
M02,-0.028296450276727975,CA3,CA1,0
M03,-0.0014569822816239697,CA3,CA1,0
M05,0.013291778373867635,CA3,CA1,0
M01,-0.019390816887328632,CA3,CA1,1
M02,-0.04619026469759788,CA3,CA1,1
M03,-0.015368283105322386,CA3,CA1,1
M05,-0.0640074593881163,CA3,CA1,1
M01,-0.011242336917354212,RSC,CA1,0
M02,-0.012343815349785625,RSC,CA1,0
M03,0.04376524632135359,RSC,CA1,0
M05,0.017267692721289696,RSC,CA1,0
M01,0.03397449235012129,RSC,CA1,1
M02,-0.019362985704647367,RSC,CA1,1
M03,-0.02811161404736502,RSC,CA1,1
M05,-0.03499471392023806,RSC,CA1,1
